Ano	Gleba	broca	grupo_infestacao	amb_prod	variedade	vinhaca	solo	tch	fazenda	data_plantio	data_avaliacao	chuva	tmed	ur	etp	rad
2012	1350	2.72	MUITOALTO	D	SP83-2847	1136.1	LVA.8	95.04	BARREIRO	01/10/2011	08/11/2012	1574.7	22.70454321	67.51911111	1504.95	7353.72
2012	1636	2.72	MUITOALTO	B	IACSP93-3046	471.8	LR.2	68.46	BARREIRO	04/05/2011	04/09/2012	1494.2	21.72966327	66.79181633	1672.05	8606.58
2012	1642	2.69	MUITOALTO	A	RB855156	0	LR.1	100.55	BARREIRO	01/07/2011	19/08/2012	1451.1	22.16769231	67.18680288	1467.08	7398.79
2012	1432	2.68	MUITOALTO	A	CTC4	0	LR.1	126.73	BARREIRO	21/12/2011	13/08/2012	929.9	22.02934599	71.81860759	769.52	3952.23
2012	1306	2.66	MUITOALTO	D	CTC2	1001.7	LVA.5	106.42	BARREIRO	30/04/2011	12/11/2012	1702	22.07138544	65.92930728	1984.56	10002.38
2012	1617	2.66	MUITOALTO	A	SP87-365	0	LR.1	63.48	BARREIRO	04/08/2011	04/09/2012	1430.4	22.32834171	66.84351759	1446.88	7214.65
2012	1351	2.65	MUITOALTO	B	SP87-365	936.6	LVE.2	92.55	BARREIRO	06/06/2011	08/11/2012	1640.2	22.23591954	65.62840996	1873.9	9345.7
2012	1339	2.64	MUITOALTO	B	RB946022	88.9	LR.2	106.87	BARREIRO	01/10/2011	12/11/2012	1620.3	22.72413203	67.61195599	1520.19	7422.23
2012	1370	2.63	MUITOALTO	A	RB855156	0	LVU.1	80.74	BARREIRO	01/06/2011	04/06/2012	1327.3	22.38582432	67.08372973	1342.12	6751.78
2012	1645	2.59	ALTO	A	RB965902	0	LR.1	140.13	BARREIRO	25/08/2011	03/09/2012	1429.8	22.39110372	67.46297872	1371.92	6823.2
2012	1413	2.57	ALTO	D	CT94-3351	0	LVE.5	83.78	BARREIRO	01/09/2011	22/08/2012	1424	22.39753501	68.32764706	1298.35	6464.65
2012	1657	2.56	ALTO	B	SP81-3250	0	LVE.2	81.79	BARREIRO	03/06/2011	06/08/2012	1484.3	21.93180974	67.6662413	1481.76	7574.54
2012	1600	2.55	ALTO	A	CTC22	0	LR.1	88.2	BARREIRO	22/07/2011	26/06/2012	1418.1	22.76558651	68.12557185	1265.78	6229.36
2012	1665	2.54	ALTO	D	SP87-365	0	LVE.6	69.52	BARREIRO	29/04/2011	29/10/2012	1628.1	21.97884545	65.88414545	1925.87	9747.82
2012	1431	2.51	ALTO	A	RB855453	0	LR.1	138.04	BARREIRO	02/05/2011	05/07/2012	1461.2	21.97397912	67.96765661	1481.61	7599.41
2012	1451	2.49	ALTO	A	CTC4	0	LVE.1	117.45	BARREIRO	22/07/2011	19/06/2012	1324	22.84742515	67.79817365	1253.39	6156.19
2012	1638	2.48	ALTO	E	CTC2	0	LVE.11	75.6	BARREIRO	26/06/2011	12/07/2012	1428	22.35986945	67.84422977	1363.78	6843.26
2012	1412	2.47	ALTO	D	RB855156	0	LVE.5	95.73	BARREIRO	20/06/2011	22/08/2012	1451.1	22.05355814	67.05123256	1504.47	7623.55
2012	1305	2.4	ALTO	D	SP83-2847	0	LVA.5	106.07	BARREIRO	01/10/2011	12/11/2012	1620.3	22.72413203	67.61195599	1520.19	7422.23
2012	1633	2.4	ALTO	B	RB925345	0	LR.2	59.27	BARREIRO	04/05/2011	04/09/2012	1494.2	21.72966327	66.79181633	1672.05	8606.58
2012	1664	2.38	ALTO	D	SP81-3250	0	LVA.9	89.2	BARREIRO	20/05/2011	14/10/2012	1553.5	21.91879377	65.72542802	1797.18	9100.58
2012	1303	2.31	ALTO	A	RB855453	259.2	LR.1	90.46	BARREIRO	18/07/2011	01/06/2012	1281.1	23.014125	67.0525	1228.88	6008.42
2012	1618	2.29	ALTO	C	IACSP93-3046	794.5	LVE.7	68.82	BARREIRO	26/05/2011	23/06/2012	1451.3	22.18012658	67.79420253	1390.1	7041.11
2012	1379	2.17	ALTO	A	CTC16	559.2	LR.1	89.48	BARREIRO	21/10/2011	10/10/2012	1306.1	22.38817416	67.86738764	1291.93	6413.64
2012	1399	2.16	ALTO	D	SP83-2847	338.1	LVA.8	76.1	BARREIRO	30/07/2011	10/10/2012	1519	22.41603645	65.68692483	1614.16	7968.67
2012	1668	2.14	ALTO	D	SP87-365	0	LVE.6	72.02	BARREIRO	15/05/2011	02/11/2012	1633.3	22.0505948	65.65468401	1901.03	9572.7
2012	1630	2.1	ALTO	B	SP87-365	828.1	LR.2	82.34	BARREIRO	06/05/2011	23/06/2012	1461.2	22.07333735	67.84368675	1443.56	7364.7
2012	1414	2.09	ALTO	B	SP80-1816	159.2	LR.2	77.92	BARREIRO	01/09/2011	18/11/2012	1636.4	22.72358427	66.36865169	1679.48	8180.04
2012	1632	2.05	ALTO	C	SP87-365	1007.3	LVE.7	82.32	BARREIRO	04/05/2011	23/06/2012	1461.2	22.06723022	67.85426859	1449.6	7401.5
2012	1400	2.03	ALTO	D	SP83-2847	849.1	LVA.8	76.06	BARREIRO	20/06/2011	10/10/2012	1519	22.16281837	65.55162839	1711.45	8574.63
2012	1376	2	ALTO	A	RB965917	856	LVU.1	96	BARREIRO	16/06/2011	10/10/2012	1519	22.12363354	65.55544513	1720.36	8639.1
2012	1353	1.99	ALTO	B	SP87-365	214.2	LVE.2	106.91	BARREIRO	07/05/2011	10/10/2012	1562.1	21.86878585	65.8293499	1818.22	9250.82
2012	1354	1.98	ALTO	B	SP83-2847	1324.4	LVE.2	99.58	BARREIRO	07/05/2011	10/10/2012	1562.1	21.86878585	65.8293499	1818.22	9250.82
2012	1357	1.9	ALTO	A	SP89-1115	0	TRE.1	86.53	BARREIRO	30/05/2011	31/05/2012	1314.3	22.38290761	66.96315217	1337.87	6732.45
2012	1620	1.79	ALTO	C	VIV.EXP.	79.1	LVE.7	69.13	BARREIRO	02/09/2011	23/06/2012	1391	23.01543919	69.44996622	1123.93	5490.22
2012	1648	1.79	ALTO	A	CT97-3257	0	LR.1	140.15	BARREIRO	29/05/2011	03/09/2012	1484.3	21.82345905	66.69536638	1601.1	8184.11
2012	1390	1.76	ALTO	D	SP91-1049	989.6	LVE.5	81.07	BARREIRO	03/10/2011	01/09/2012	1402.4	22.31323881	69.64453731	1196.28	5990.2
2012	1663	1.69	ALTO	B	RB855156	0	LVE.2	84.82	BARREIRO	24/04/2011	05/11/2012	1649.7	22.03411922	65.97644128	1970.41	9947.92
2012	1393	1.67	ALTO	B	SP91-1049	1342.4	LVU.2	86.46	BARREIRO	26/05/2011	01/09/2012	1484.3	21.80298925	66.81460215	1599.74	8187.11
2012	1653	1.63	ALTO	D	RB966928	0	LVE.6	79.77	BARREIRO	06/06/2011	03/11/2012	1623.4	22.2110735	65.63439072	1850.62	9241
2012	1380	1.55	ALTO	A	CTC13	447.2	LR.1	95.87	BARREIRO	04/05/2011	10/10/2012	1562.1	21.86520913	65.84534221	1827.32	9305.9
2012	1394	1.37	Medio	A	SP91-1049	1635.2	LVU.1	86.48	BARREIRO	01/05/2011	01/09/2012	1500.5	21.70885714	66.99287755	1665.87	8585.76
2012	1352	1.36	Medio	B	SP83-2847	919.8	LVE.2	135.36	BARREIRO	08/10/2011	02/12/2012	1732.4	22.7935545	67.70924171	1581.5	7701.82
2012	1398	1.22	Medio	B	SP87-365	0	LR.2	59.21	BARREIRO	25/07/2011	01/09/2012	1451.1	22.27225926	66.86834568	1460.59	7290.46
2012	1396	1.17	Medio	B	RB867515	0	LR.2	63.15	BARREIRO	06/10/2011	01/10/2012	1461.8	22.35867403	68.44513812	1304.06	6482.59
2012	1654	1.16	Medio	D	RB966928	0	LVE.6	74.37	BARREIRO	03/06/2011	03/11/2012	1623.4	22.18759615	65.62105769	1858.01	9287.69
2012	1661	1.13	Medio	D	SP83-2847	0	LVE.5	93.44	BARREIRO	03/06/2011	15/10/2012	1553.5	22.0159481	65.71265469	1768.49	8905.28
2012	1627	0.81	Medio	D	SP87-365	0	LVE.8	47.6	BARREIRO	06/05/2011	12/07/2012	1471.1	21.94945853	67.93177419	1487.66	7632.92
2012	1667	0.49	Baixo	D	RB966928	0	LVE.6	72.17	BARREIRO	02/04/2011	02/11/2012	1739.8	22.06369191	66.30120482	2026.99	10264.93
2012	1658	0.34	Baixo	D	SP83-2847	0	LVE.5	93.49	BARREIRO	03/06/2011	15/10/2012	1553.5	22.0159481	65.71265469	1768.49	8905.28
2012	1143	14.96	MUITOALTO	A	SP86-42	0	LR.1	75.28	BARRINHA	21/09/2011	26/10/2012	1254.8	22.8671393	68.23925373	1536.91	7503.77
2012	1094	5.22	MUITOALTO	A	SP91-3011	816.8	LR.1	85.15	BARRINHA	06/11/2011	17/08/2012	970.9	22.58617133	72.18615385	1028.28	5206.17
2012	1182	4.53	MUITOALTO	A	RB855156	1000.8	LR.1	115.23	BARRINHA	25/08/2011	18/05/2012	993.3	23.83533582	68.89354478	1117.96	5379.99
2012	1127	4.04	MUITOALTO	A	RB855453	387.8	LR.1	109.43	BARRINHA	17/08/2011	10/06/2012	1043.9	23.48558528	69.43846154	1191.13	5773.51
2012	1226	3.94	MUITOALTO	B	SP84-5560	0	TRE.2	66.37	BARRINHA	07/09/2011	22/08/2012	1138.1	22.73239316	69.77273504	1313.5	6505.66
2012	1219	3.89	MUITOALTO	A	SP88-725	0	TRE.1	80.76	BARRINHA	07/09/2011	22/08/2012	1138.1	22.73239316	69.77273504	1313.5	6505.66
2012	1040	3.67	MUITOALTO	A	SP89-1115	0	LR.1	57.02	BARRINHA	17/10/2011	07/11/2012	1133	22.8710567	68.51871134	1489.6	7290.58
2012	1160	3.66	MUITOALTO	B	SP91-1049	1780.8	LR.2	92.61	BARRINHA	30/09/2011	09/06/2012	1030.2	23.61649606	72.34826772	1010.55	4940.84
2012	1007	3.63	MUITOALTO	B	RB855453	0	LR.2	63.46	BARRINHA	28/10/2011	28/04/2012	730.5	24.4698913	72.2251087	798.38	3863.48
2012	1193	3.47	MUITOALTO	A	DIVERSAS	0	TRE.1	95.59	BARRINHA	12/10/2011	12/06/2012	1003.7	23.49446939	73.09955102	964.12	4746.33
2012	1122	3.33	MUITOALTO	A	SP81-3250	630	LR.1	102.24	BARRINHA	16/09/2011	10/06/2012	1031	23.58975836	71.20070632	1078.43	5249.7
2012	1167	3.3	MUITOALTO	B	SP91-1049	743.2	LR.2	108.08	BARRINHA	24/09/2011	26/11/2012	1403.1	23.04227907	68.19918605	1669.97	8099.2
2012	1224	3.15	MUITOALTO	A	SP91-1049	0	TRE.1	86.27	BARRINHA	12/10/2011	19/08/2012	1100.8	22.59805112	71.74763578	1144.81	5754.49
2012	1018	3.02	MUITOALTO	A	CTC7	32286	LVA.1	104.75	BARRINHA	06/06/2011	24/08/2012	1186.1	22.19440583	67.95890135	1579.74	7920.84
2012	1068	3	MUITOALTO	A	SP90-1107	524	LR.1	72.53	BARRINHA	06/12/2011	04/11/2012	915.7	22.76070149	68.86283582	1235.06	6078.63
2012	1194	2.97	MUITOALTO	A	RB928064	0	TRE.1	71.3	BARRINHA	31/05/2011	22/08/2012	1186.1	22.15443333	68.00131111	1585	7968.23
